order_year_month,order_year,order_month,order_count,net_revenue,net_profit,mom_growth_pct,yoy_growth_pct
2024-01,2024,1,196,61406.0,31606.48,,
2024-02,2024,2,210,47338.61,25321.41,-22.91,
2024-03,2024,3,189,51620.74,26405.62,9.05,
2024-04,2024,4,218,46085.48,23822.6,-10.72,
2024-05,2024,5,203,44137.59,23219.74,-4.23,
2024-06,2024,6,200,42623.87,22300.05,-3.43,
2024-07,2024,7,200,46286.6,23800.86,8.59,
2024-08,2024,8,227,58497.87,30063.83,26.38,
2024-09,2024,9,207,54770.44,28189.31,-6.37,
2024-10,2024,10,216,53873.06,27465.15,-1.64,
2024-11,2024,11,201,43635.22,22515.65,-19.0,
2024-12,2024,12,215,45793.53,23865.24,4.95,
2025-01,2025,1,224,57564.9,29319.08,25.71,-6.26
2025-02,2025,2,196,50591.18,26156.64,-12.11,6.87
2025-03,2025,3,207,43271.59,22882.0,-14.47,-16.17
2025-04,2025,4,197,42772.14,22336.5,-1.15,-7.19
2025-05,2025,5,203,48339.91,24833.49,13.02,9.52
2025-06,2025,6,183,34959.46,18542.97,-27.68,-17.98
2025-07,2025,7,207,42723.33,22439.28,22.21,-7.7
2025-08,2025,8,201,47582.35,24599.85,11.37,-18.66
2025-09,2025,9,195,52378.6,26428.7,10.08,-4.37
2025-10,2025,10,208,59125.39,30087.73,12.88,9.75
2025-11,2025,11,204,46730.53,24647.61,-20.96,7.09
2025-12,2025,12,207,46906.01,24533.09,0.38,2.43
