order_id,order_date,customer_id,product_id,quantity,discount,payment_method,shipping_cost
ORD-10001,04/26/2025,CUST-1546,PROD-19,3,0.2,Credit Card,7.0
ORD-10002,2025-04-13,CUST-1184,PROD-19,1,0.0,PayPal,8.41
ORD-10003,2025-12-14,CUST-1210,PROD-34,1,0.05,Store Credit,19.5
ORD-10004,08-07-2025,CUST-1431,PROD-29,1,0.05,PayPal,5.0
ORD-10005,08/25/2024,CUST-1344,PROD-27,3,0.1,,14.64
ORD-10006,06/26/2025,CUST-1312,PROD-37,3,0.0,Debit Card,7.62
ORD-10007,15-01-2025,CUST-1049,PROD-10,4,0.0,,18.78
ORD-10008,2025-12-29,CUST-1180,PROD-46,2,0.0,PayPal,5.86
ORD-10009,2024-11-20,CUST-1379,PROD-12,1,0.2,Debit Card,19.64
ORD-10010,2024-05-31,CUST-1167,PROD-35,1,0.1,Store Credit,16.29
ORD-10011,14-04-2025,CUST-1994,PROD-48,5,0.05,Debit Card,11.57
ORD-10012,23-10-2024,CUST-1588,PROD-43,5,0.2,Store Credit,9.41
ORD-10013,04/25/2024,CUST-1143,PROD-44,3,0.0,Store Credit,13.87
ORD-10014,2024-08-13,CUST-1057,PROD-39,5,0.15,PayPal,16.49
ORD-10015,2024-10-11,CUST-1870,PROD-29,1,0.15,Store Credit,7.1
ORD-10016,2024-11-21,CUST-1058,PROD-43,2,0.2,Store Credit,9.9
ORD-10017,2025-01-16,CUST-1316,PROD-29,1,0.0,Store Credit,15.85
ORD-10018,03/01/2025,CUST-1826,PROD-47,4,0.2,Store Credit,6.22
ORD-10019,2025-08-24,CUST-1311,PROD-31,5,0.05,Credit Card,18.92
ORD-10020,08/27/2025,CUST-1420,PROD-41,4,0.0,,11.38
ORD-10021,08/04/2025,CUST-1191,PROD-25,4,0.0,Debit Card,17.34
ORD-10022,2024-11-07,CUST-1230,PROD-02,2,0.05,Debit Card,19.29
ORD-10023,2025-10-13,CUST-1915,PROD-19,4,0.2,PayPal,4.45
ORD-10024,2024-10-10,,PROD-39,5,0.1,,10.97
ORD-10025,2024-09-21,CUST-1711,PROD-08,5,0.0,Debit Card,6.6
ORD-10026,2024-02-29,CUST-1710,PROD-09,1,0.05,Debit Card,10.7
ORD-10027,2024-12-30,CUST-1655,PROD-05,2,0.0,,16.03
