return_id,order_id,return_date,return_reason
RET-5001,ORD-10425,2024-02-02,Defective Item
RET-5002,ORD-13504,2024-02-25,Defective Item
RET-5003,ORD-12615,2025-01-16,Late Delivery
RET-5004,ORD-14388,2024-09-01,Item Not as Described
RET-5005,ORD-13582,2024-03-25,Late Delivery
RET-5006,ORD-14191,2025-08-20,Defective Item
RET-5007,ORD-13601,2025-04-28,Changed Mind
RET-5008,ORD-11339,2025-02-08,Defective Item
RET-5009,ORD-11767,2024-02-13,Changed Mind
RET-5010,ORD-13650,2025-05-09,Late Delivery
RET-5011,ORD-14225,2025-11-13,Late Delivery
RET-5012,ORD-13075,2024-08-09,Defective Item
RET-5013,ORD-13706,2025-02-26,Item Not as Described
RET-5014,ORD-13820,2024-02-14,Late Delivery
RET-5015,ORD-10794,2025-06-07,Late Delivery
RET-5016,ORD-13826,2024-06-28,Late Delivery
RET-5017,ORD-11011,2024-11-30,Late Delivery
RET-5018,ORD-11465,2024-10-06,Wrong Size / Fit
RET-5019,ORD-10542,2024-10-01,Late Delivery
RET-5020,ORD-14759,2025-05-07,Defective Item
RET-5021,ORD-14889,2024-12-20,Wrong Size / Fit
RET-5022,ORD-14722,2025-03-22,Item Not as Described
RET-5023,ORD-11609,2025-02-13,Item Not as Described
RET-5024,ORD-15007,2024-05-01,Defective Item
RET-5025,ORD-10710,2024-06-11,Item Not as Described
RET-5026,ORD-14070,2024-10-28,Item Not as Described
RET-5027,ORD-13138,2024-06-16,Defective Item
RET-5028,ORD-13952,2025-10-21,Wrong Size / Fit
RET-5029,ORD-10009,2024-11-26,Late Delivery
RET-5030,ORD-14044,2025-03-24,Wrong Size / Fit
RET-5031,ORD-10755,2024-07-04,Changed Mind
RET-5032,ORD-10093,2025-04-18,Item Not as Described
RET-5033,ORD-10012,2024-11-17,Late Delivery
RET-5034,ORD-11044,2025-01-20,Late Delivery
RET-5035,ORD-11410,2025-02-05,Changed Mind
RET-5036,ORD-13624,2024-01-27,Item Not as Described
RET-5037,ORD-14778,2024-07-24,Late Delivery
RET-5038,ORD-13502,2024-05-04,Late Delivery
RET-5039,ORD-11322,2024-03-30,Item Not as Described
RET-5040,ORD-12285,2025-06-02,Late Delivery
RET-5041,ORD-12530,2024-08-13,Late Delivery
RET-5042,ORD-12784,2024-04-09,Item Not as Described
RET-5043,ORD-11507,2024-05-30,Changed Mind
RET-5044,ORD-13656,2024-01-09,Late Delivery
RET-5045,ORD-14178,2025-01-17,Changed Mind
RET-5046,ORD-12397,2024-04-25,Defective Item
RET-5047,ORD-11617,2025-11-09,Item Not as Described
RET-5048,ORD-10001,2025-05-07,Late Delivery
RET-5049,ORD-10088,2024-04-18,Item Not as Described
RET-5050,ORD-11811,2024-06-15,Changed Mind
RET-5051,ORD-15020,2025-09-04,Item Not as Described
RET-5052,ORD-14505,2024-11-29,Changed Mind
RET-5053,ORD-14106,2025-03-25,Wrong Size / Fit
RET-5054,ORD-14136,2024-06-09,Defective Item
RET-5055,ORD-13248,2024-06-03,Changed Mind
RET-5056,ORD-10330,2025-09-26,Late Delivery
RET-5057,ORD-13471,2024-03-07,Item Not as Described
RET-5058,ORD-12369,2025-07-01,Changed Mind
RET-5059,ORD-13500,2025-07-26,Item Not as Described
RET-5060,ORD-12815,2024-12-29,Defective Item
